학년,학기,교과,단원,학습내용,해당차시,전체차시,쪽수
2,1학기,국어,3. 겪은 일을 나타내요,꾸며 주는 말이 들어간 문장 읽기 -2-,6,15,80~93
2,1학기,국어,3. 겪은 일을 나타내요,겪은 일에서 일기 글감을 정하기 -1-,7,15,94~100
2,1학기,국어,3. 겪은 일을 나타내요,겪은 일에서 일기 글감을 정하기 -2-,8,15,94~100
2,1학기,국어,3. 겪은 일을 나타내요,겪은 일이 잘 드러나게 일기 쓰기 -1-,9,15,101~105
2,1학기,국어,3. 겪은 일을 나타내요,겪은 일이 잘 드러나게 일기 쓰기 -2-,10,15,101~105
2,1학기,국어,3. 겪은 일을 나타내요,겪은 일이 잘 드러나게 일기 쓰기 -3-,11,15,101~105
2,1학기,국어,3. 겪은 일을 나타내요,배운 내용 실천하기 -1-,12,15,106~107
2,1학기,국어,3. 겪은 일을 나타내요,배운 내용 실천하기 -2-,13,15,106~107
2,1학기,국어,3. 겪은 일을 나타내요,배운 내용 마무리하기 -1-,14,15,108~111
2,1학기,국어,3. 겪은 일을 나타내요,배운 내용 마무리하기 -2-,15,15,108~111
2,1학기,국어,4. 분위기를 살려 읽어요,배울 내용 살펴보기 -1-,1,15,112~117
2,1학기,국어,4. 분위기를 살려 읽어요,배울 내용 살펴보기 -2-,2,15,112~117
2,1학기,국어,4. 분위기를 살려 읽어요,겹받침이 있는 낱말을 읽고 쓰기 -1-,3,15,118~122
2,1학기,국어,4. 분위기를 살려 읽어요,겹받침이 있는 낱말을 읽고 쓰기 -2-,4,15,118~122
2,1학기,국어,4. 분위기를 살려 읽어요,겹받침이 있는 낱말을 읽고 쓰기 -3-,5,15,118~122
2,1학기,국어,4. 분위기를 살려 읽어요,겹받침이 있는 낱말에 주의하며 글 읽기 -1-,6,15,123~127
2,1학기,국어,4. 분위기를 살려 읽어요,겹받침이 있는 낱말에 주의하며 글 읽기 -2-,7,15,123~127
2,1학기,국어,4. 분위기를 살려 읽어요,시의 분위기 살펴보기 -1-,8,15,128~132
2,1학기,국어,4. 분위기를 살려 읽어요,시의 분위기 살펴보기 -2-,9,15,128~132
2,1학기,국어,4. 분위기를 살려 읽어요,시의 분위를 생각하며 소리 내어 읽기 -1-,10,15,133~137
2,1학기,국어,4. 분위기를 살려 읽어요,시의 분위를 생각하며 소리 내어 읽기 -2-,11,15,133~137
2,1학기,국어,4. 분위기를 살려 읽어요,배운 내용 실천하기 -1-,12,15,138~139
2,1학기,국어,4. 분위기를 살려 읽어요,배운 내용 실천하기 -2-,13,15,138~139
2,1학기,국어,4. 분위기를 살려 읽어요,배운 내용 마무리하기 -1-,14,15,140~143
2,1학기,국어,4. 분위기를 살려 읽어요,배운 내용 마무리하기 -2-,15,15,140~143
2,1학기,국어,5. 마음을 짐작해요,배울 내용 살펴보기 -1-,1,14,152~155
2,1학기,국어,5. 마음을 짐작해요,배울 내용 살펴보기 -2-,2,14,152~155
2,1학기,국어,5. 마음을 짐작해요,인물의 마음을 짐작하기 -1-,3,14,156~159
2,1학기,국어,5. 마음을 짐작해요,인물의 마음을 짐작하기 -2-,4,14,156~159
2,1학기,국어,5. 마음을 짐작해요,인물의 마음을 짐작하며 글 읽기 -1-,5,14,160~165
2,1학기,국어,5. 마음을 짐작해요,인물의 마음을 짐작하며 글 읽기 -2-,6,14,160~165
2,1학기,국어,5. 마음을 짐작해요,헷갈리기 쉬운 낱말에 주의하며 읽기 -1-,7,14,166~169
2,1학기,국어,5. 마음을 짐작해요,헷갈리기 쉬운 낱말에 주의하며 읽기 -2-,8,14,166~169
2,1학기,국어,5. 마음을 짐작해요,자연스럽게 띄어 읽기 -1-,9,14,170~177
2,1학기,국어,5. 마음을 짐작해요,자연스럽게 띄어 읽기 -2-,10,14,170~177
2,1학기,국어,5. 마음을 짐작해요,배운 내용 실천하기 -1-,11,14,178~179
2,1학기,국어,5. 마음을 짐작해요,배운 내용 실천하기 -2-,12,14,178~179
2,1학기,국어,5. 마음을 짐작해요,배운 내용 마무리하기 -1-,13,14,180~183
2,1학기,국어,5. 마음을 짐작해요,배운 내용 마무리하기 -2-,14,14,180~183
2,1학기,국어,6. 자신의 생각을 표현해요,배울 내용 살펴보기 -1-,1,15,184~187
2,1학기,국어,6. 자신의 생각을 표현해요,배울 내용 살펴보기 -2-,2,15,184~187
2,1학기,국어,6. 자신의 생각을 표현해요,글을 읽고 중요한 내용을 찾는 방법 알아보기 -1-,3,15,188~191
2,1학기,국어,6. 자신의 생각을 표현해요,글을 읽고 중요한 내용을 찾는 방법 알아보기 -2-,4,15,188~191
2,1학기,국어,6. 자신의 생각을 표현해요,중요한 내용을 생각하며 글 읽기 -1-,5,15,192~197
2,1학기,국어,6. 자신의 생각을 표현해요,중요한 내용을 생각하며 글 읽기 -2-,6,15,192~197
2,1학기,국어,6. 자신의 생각을 표현해요,글을 읽고 인물의 생각과 그 까닭 파악하기 -1-,7,15,198~201
2,1학기,국어,6. 자신의 생각을 표현해요,글을 읽고 인물의 생각과 그 까닭 파악하기 -2-,8,15,198~201
2,1학기,국어,6. 자신의 생각을 표현해요,글을 읽고 자신의 생각을 표현하기 -1-,9,15,202~209
2,1학기,국어,6. 자신의 생각을 표현해요,글을 읽고 자신의 생각을 표현하기 -2-,10,15,202~209
2,1학기,국어,6. 자신의 생각을 표현해요,글을 읽고 자신의 생각을 표현하기 -3-,11,15,202~209
2,1학기,국어,6. 자신의 생각을 표현해요,배운 내용 실천하기 -1-,12,15,210~211
2,1학기,국어,6. 자신의 생각을 표현해요,배운 내용 실천하기 -2-,13,15,210~211
2,1학기,국어,6. 자신의 생각을 표현해요,배운 내용 마무리하기 -1-,14,15,212~215
2,1학기,국어,6. 자신의 생각을 표현해요,배운 내용 마무리하기 -2-,15,15,212~215
2,1학기,국어,7. 마음을 담아서 말해요,배울 내용 살펴보기 -1-,1,15,216~219
2,1학기,국어,7. 마음을 담아서 말해요,배울 내용 살펴보기 -2-,2,15,216~219
2,1학기,국어,7. 마음을 담아서 말해요,자신의 경험을 떠올리며 이야기 듣기 -1-,3,15,220~223
2,1학기,국어,7. 마음을 담아서 말해요,자신의 경험을 떠올리며 이야기 듣기 -2-,4,15,220~223
2,1학기,국어,7. 마음을 담아서 말해요,자신의 경험 발표하기 -1-,5,15,224~227
2,1학기,국어,7. 마음을 담아서 말해요,자신의 경험 발표하기 -2-,6,15,224~227
2,1학기,국어,7. 마음을 담아서 말해요,다른 사람의 마음을 생각하며 고운 말로 대화하기 -1-,7,15,228~231
2,1학기,국어,7. 마음을 담아서 말해요,다른 사람의 마음을 생각하며 고운 말로 대화하기 -2-,8,15,228~231
2,1학기,국어,7. 마음을 담아서 말해요,고운 말로 생각과 마음 나누기 -1-,9,15,232~239
2,1학기,국어,7. 마음을 담아서 말해요,고운 말로 생각과 마음 나누기 -2-,10,15,232~239
2,1학기,국어,7. 마음을 담아서 말해요,고운 말로 생각과 마음 나누기 -3-,11,15,232~239
2,1학기,국어,7. 마음을 담아서 말해요,배운 내용 실천하기 -1-,12,15,240~241
2,1학기,국어,7. 마음을 담아서 말해요,배운 내용 실천하기 -2-,13,15,240~241
2,1학기,국어,7. 마음을 담아서 말해요,배운 내용 마무리하기 -1-,14,15,242~245
2,1학기,국어,7. 마음을 담아서 말해요,배운 내용 마무리하기 -2-,15,15,242~245
2,1학기,국어,8. 다양한 작품을 감상해요,배울 내용 살펴보기 -1-,1,15,246~249
2,1학기,국어,8. 다양한 작품을 감상해요,배울 내용 살펴보기 -2-,2,15,246~249
2,1학기,국어,8. 다양한 작품을 감상해요,시를 낭송하고 생각이나 느낌 나누기 -1-,3,15,250~254
2,1학기,국어,8. 다양한 작품을 감상해요,시를 낭송하고 생각이나 느낌 나누기 -2-,4,15,250~254
2,1학기,국어,8. 다양한 작품을 감상해요,이야기를 읽고 생각이나 느낌 표현하기 -1-,5,15,255~263
2,1학기,국어,8. 다양한 작품을 감상해요,이야기를 읽고 생각이나 느낌 표현하기 -2-,6,15,255~263
2,1학기,국어,8. 다양한 작품을 감상해요,인형극을 감상하고 인물의 마음 짐작하기 -1-,7,15,264~267
2,1학기,국어,8. 다양한 작품을 감상해요,인형극을 감상하고 인물의 마음 짐작하기 -2-,8,15,264~267
2,1학기,국어,8. 다양한 작품을 감상해요,인형극을 감상하고 자신의 생각이나 느낌 표현하기 -1-,9,15,268~273
2,1학기,국어,8. 다양한 작품을 감상해요,인형극을 감상하고 자신의 생각이나 느낌 표현하기 -2-,10,15,268~273
2,1학기,국어,8. 다양한 작품을 감상해요,인형극을 감상하고 자신의 생각이나 느낌 표현하기,11,15,268~273
2,1학기,국어,8. 다양한 작품을 감상해요,배운 내용 실천하기 -1-,12,15,274~275
2,1학기,국어,8. 다양한 작품을 감상해요,배운 내용 실천하기 -2-,13,15,274~275
2,1학기,국어,8. 다양한 작품을 감상해요,배운 내용 마무리하기 -1-,14,15,276~279
2,1학기,국어,8. 다양한 작품을 감상해요,배운 내용 마무리하기 -2-,15,15,276~279
2,2학기,국어,1. 장면을 상상하며,배울 내용 살펴보기 -1-,1,15,6~9
2,2학기,국어,1. 장면을 상상하며,배울 내용 살펴보기 -2-,2,15,6~9
2,2학기,국어,1. 장면을 상상하며,시를 읽고 장면 상상하기 -1-,3,15,10~13
2,2학기,국어,1. 장면을 상상하며,시를 읽고 장면 상상하기 -2-,4,15,10~13
2,2학기,국어,1. 장면을 상상하며,시를 읽고 생각이나 느낌 나누기 -1-,5,15,14~17
2,2학기,국어,1. 장면을 상상하며,시를 읽고 생각이나 느낌 나누기 -2-,6,15,14~17
2,2학기,국어,1. 장면을 상상하며,이야기를 읽고 인물의 마음 상상하기 -1-,7,15,18~25
2,2학기,국어,1. 장면을 상상하며,이야기를 읽고 인물의 마음 상상하기 -2-,8,15,18~25
2,2학기,국어,1. 장면을 상상하며,이야기를 읽고 생각이나 느낌 나누기 -1-,9,15,26~33
2,2학기,국어,1. 장면을 상상하며,이야기를 읽고 생각이나 느낌 나누기 -2-,10,15,26~33
2,2학기,국어,1. 장면을 상상하며,배운 내용 실천하기 -1-,11,15,34~35
2,2학기,국어,1. 장면을 상상하며,배운 내용 실천하기 -2-,12,15,34~35
2,2학기,국어,1. 장면을 상상하며,배운 내용 실천하기 -3-,13,15,34~35
2,2학기,국어,1. 장면을 상상하며,배운 내용 마무리하기 -1-,14,15,36~39
2,2학기,국어,1. 장면을 상상하며,배운 내용 마무리하기 -2-,15,15,36~39
2,2학기,국어,2. 서로 존중해요,배울 내용 살펴보기 -1-,1,15,40~43
2,2학기,국어,2. 서로 존중해요,배울 내용 살펴보기 -2-,2,15,40~43
2,2학기,국어,2. 서로 존중해요,고운 말로 대화하는 방법 알기 -1-,3,15,44~47
2,2학기,국어,2. 서로 존중해요,고운 말로 대화하는 방법 알기 -2-,4,15,44~47
2,2학기,국어,2. 서로 존중해요,고운 말로 대화하기 -1-,5,15,48~51
2,2학기,국어,2. 서로 존중해요,고운 말로 대화하기 -2-,6,15,48~51
2,2학기,국어,2. 서로 존중해요,칭찬이나 조언하기 -1-,7,15,52~59
2,2학기,국어,2. 서로 존중해요,칭찬이나 조언하기 -2-,8,15,52~59
2,2학기,국어,2. 서로 존중해요,대화를 나누면서 말하는 사람에게 적절히 반응하기 -1-,9,15,60~63
2,2학기,국어,2. 서로 존중해요,대화를 나누면서 말하는 사람에게 적절히 반응하기 -2-,10,15,60~63
2,2학기,국어,2. 서로 존중해요,배운 내용 실천하기 -1-,11,15,64~65
2,2학기,국어,2. 서로 존중해요,배운 내용 실천하기 -2-,12,15,64~65
2,2학기,국어,2. 서로 존중해요,배운 내용 실천하기 -3-,13,15,64~65
2,2학기,국어,2. 서로 존중해요,배운 내용 마무리하기 -1-,14,15,66~69
2,2학기,국어,2. 서로 존중해요,배운 내용 마무리하기 -2-,15,15,66~69
2,2학기,국어,3. 내용을 살펴요,배울 내용 살펴보기 -1-,1,15,70~73
2,2학기,국어,3. 내용을 살펴요,배울 내용 살펴보기 -2-,2,15,70~73
2,2학기,국어,3. 내용을 살펴요,글을 읽고 중심 내용을 파악하는 방법 알기 -1-,3,15,74~77
2,2학기,국어,3. 내용을 살펴요,글을 읽고 중심 내용을 파악하는 방법 알기 -2-,4,15,74~77
2,2학기,국어,3. 내용을 살펴요,글을 읽고 내용을 간추리기 -1-,5,15,78~83
2,2학기,국어,3. 내용을 살펴요,글을 읽고 내용을 간추리기 -2-,6,15,78~83
2,2학기,국어,3. 내용을 살펴요,사물을 설명하는 글을 쓰는 방법 알기 -1-,7,15,84~87
2,2학기,국어,3. 내용을 살펴요,사물을 설명하는 글을 쓰는 방법 알기 -2-,8,15,84~87
2,2학기,국어,3. 내용을 살펴요,자신이 좋아하는 사물을 설명하는 글 쓰기 -1-,9,15,88~91
2,2학기,국어,3. 내용을 살펴요,자신이 좋아하는 사물을 설명하는 글 쓰기 -2-,10,15,88~91
2,2학기,국어,3. 내용을 살펴요,배운 내용 실천하기 -1-,11,15,92~93
2,2학기,국어,3. 내용을 살펴요,배운 내용 실천하기 -2-,12,15,92~93
2,2학기,국어,3. 내용을 살펴요,배운 내용 실천하기 -3-,13,15,92~93
2,2학기,국어,3. 내용을 살펴요,배운 내용 마무리하기 -1-,14,15,94~99
2,2학기,국어,3. 내용을 살펴요,배운 내용 마무리하기 -2-,15,15,94~99
2,2학기,국어,4. 마음을 전해요,배울 내용 살펴보기 -1-,1,13,100~105
2,2학기,국어,4. 마음을 전해요,배울 내용 살펴보기 -2-,2,13,100~105
2,2학기,국어,4. 마음을 전해요,여러 가지 문장의 종류 알기 -1-,3,13,106~109
2,2학기,국어,4. 마음을 전해요,여러 가지 문장의 종류 알기 -2-,4,13,106~109
2,2학기,국어,4. 마음을 전해요,글쓴이의 마음을 파악하며 글 읽기 -1-,5,13,110~113
2,2학기,국어,4. 마음을 전해요,글쓴이의 마음을 파악하며 글 읽기 -2-,6,13,110~113
2,2학기,국어,4. 마음을 전해요,인물의 마음을 생각하며 실감 나게 읽기 -1-,7,13,114~119
2,2학기,국어,4. 마음을 전해요,인물의 마음을 생각하며 실감 나게 읽기 -2-,8,13,114~119
2,2학기,국어,4. 마음을 전해요,이야기를 듣고 인물에게 내 생각 전하기 -1-,9,13,120~123
2,2학기,국어,4. 마음을 전해요,이야기를 듣고 인물에게 내 생각 전하기 -2-,10,13,120~123
2,2학기,국어,4. 마음을 전해요,배운 내용 실천하기 -1-,11,13,124~125
2,2학기,국어,4. 마음을 전해요,배운 내용 실천하기 -2-,12,13,124~125
2,2학기,국어,4. 마음을 전해요,배운 내용 마무리하기,13,13,126~129
2,2학기,국어,5. 바른 말로 이야기 나누어요,배울 내용 살펴보기 -1-,1,15,138~141
2,2학기,국어,5. 바른 말로 이야기 나누어요,배울 내용 살펴보기 -2-,2,15,138~141
2,2학기,국어,5. 바른 말로 이야기 나누어요,바른 말 알기 -1-,3,15,142~145
2,2학기,국어,5. 바른 말로 이야기 나누어요,바른 말 알기 -2-,4,15,142~145
2,2학기,국어,5. 바른 말로 이야기 나누어요,자신의 생각을 바른 말로 표현하기 -1-,5,15,146~149
2,2학기,국어,5. 바른 말로 이야기 나누어요,자신의 생각을 바른 말로 표현하기 -2-,6,15,146~149
2,2학기,국어,5. 바른 말로 이야기 나누어요,이야기를 듣고 일이 일어 난 차례 말하기 -1-,7,15,150~153
2,2학기,국어,5. 바른 말로 이야기 나누어요,이야기를 듣고 일이 일어 난 차례 말하기 -2-,8,15,150~153
2,2학기,국어,5. 바른 말로 이야기 나누어요,글을 읽고 일이 일어난 차례 말하기 -1-,9,15,154~159
2,2학기,국어,5. 바른 말로 이야기 나누어요,글을 읽고 일이 일어난 차례 말하기 -2-,10,15,154~159
2,2학기,국어,5. 바른 말로 이야기 나누어요,배운 내용 실천하기 -1-,11,15,160~161
2,2학기,국어,5. 바른 말로 이야기 나누어요,배운 내용 실천하기 -2-,12,15,160~161
2,2학기,국어,5. 바른 말로 이야기 나누어요,배운 내용 실천하기 -3-,13,15,160~161
2,2학기,국어,5. 바른 말로 이야기 나누어요,배운 내용 마무리하기 -1-,14,15,162~165
2,2학기,국어,5. 바른 말로 이야기 나누어요,배운 내용 마무리하기 -2-,15,15,162~165
2,2학기,국어,6. 매체를 경험해요,배울 내용 살펴보기 -1-,1,14,166~169
2,2학기,국어,6. 매체를 경험해요,배울 내용 살펴보기 -2-,2,14,166~169
2,2학기,국어,6. 매체를 경험해요,글과 그림이 나타내는 뜻을 생각하며 읽기 -1-,3,14,170~173
2,2학기,국어,6. 매체를 경험해요,글과 그림이 나타내는 뜻을 생각하며 읽기 -2-,4,14,170~173
2,2학기,국어,6. 매체를 경험해요,글과 그림을 관련지으며 지기 그림책 읽기 -1-,5,14,174~183
2,2학기,국어,6. 매체를 경험해요,글과 그림을 관련지으며 지기 그림책 읽기 -2-,6,14,174~183
2,2학기,국어,6. 매체를 경험해요,친숙한 매체와 매체 자료에 흥미와 관심 가지기 -1-,7,14,184~187
2,2학기,국어,6. 매체를 경험해요,친숙한 매체와 매체 자료에 흥미와 관심 가지기 -2-,8,14,184~187
2,2학기,국어,6. 매체를 경험해요,매체와 연결 지어 글과 그림으로 표현하기 -1-,9,14,188~191
2,2학기,국어,6. 매체를 경험해요,매체와 연결 지어 글과 그림으로 표현하기 -2-,10,14,188~191
2,2학기,국어,6. 매체를 경험해요,배운 내용 실천하기 -1-,11,14,192~193
2,2학기,국어,6. 매체를 경험해요,배운 내용 실천하기 -2-,12,14,192~193
2,2학기,국어,6. 매체를 경험해요,배운 내용 마무리하기 -1-,13,14,194~197
2,2학기,국어,6. 매체를 경험해요,배운 내용 마무리하기 -2-,14,14,194~197
2,2학기,국어,7. 내 생각은 이래요,배울 내용 살펴보기 -1-,1,15,198~201
2,2학기,국어,7. 내 생각은 이래요,배울 내용 살펴보기 -2-,2,15,198~201
2,2학기,국어,7. 내 생각은 이래요,글을 읽고 글쓴이의 생각 파악하기 -1-,3,15,202~206
2,2학기,국어,7. 내 생각은 이래요,글을 읽고 글쓴이의 생각 파악하기 -2-,4,15,202~206
2,2학기,국어,7. 내 생각은 이래요,글쓴이의 생각에 대한 자신의 생각 발표하기 -1-,5,15,207~210
2,2학기,국어,7. 내 생각은 이래요,글쓴이의 생각에 대한 자신의 생각 발표하기 -2-,6,15,207~210
2,2학기,국어,7. 내 생각은 이래요,자신의 생각을 글로 표현하기 -1-,7,15,211~219
2,2학기,국어,7. 내 생각은 이래요,자신의 생각을 글로 표현하기 -2-,8,15,211~219
2,2학기,국어,7. 내 생각은 이래요,자신의 생각을 글로 표현하기 -3-,9,15,211~219
2,2학기,국어,7. 내 생각은 이래요,친구들이 쓴 글에 대한 자신의 생각 쓰기,10,15,220~221
2,2학기,국어,7. 내 생각은 이래요,배운 내용 실천하기 -1-,11,15,222~223
2,2학기,국어,7. 내 생각은 이래요,배운 내용 실천하기 -2-,12,15,222~223
2,2학기,국어,7. 내 생각은 이래요,배운 내용 실천하기 -3-,13,15,222~223
2,2학기,국어,7. 내 생각은 이래요,배운 내용 마무리하기 -1-,14,15,224~227
2,2학기,국어,7. 내 생각은 이래요,배운 내용 마무리하기 -2-,15,15,224~227
2,2학기,국어,8. 나도 작가,배울 내용 살펴보기 -1-,1,15,228~231
2,2학기,국어,8. 나도 작가,배울 내용 살펴보기 -2-,2,15,228~231
2,2학기,국어,8. 나도 작가,겪은 일을 시나 노래로 표현한 작품 감상하기 -1-,3,15,232~237
2,2학기,국어,8. 나도 작가,겪은 일을 시나 노래로 표현한 작품 감상하기 -2-,4,15,232~237
2,2학기,국어,8. 나도 작가,겪은 일을 시나 노래로 표현하기 -1-,5,15,238~243
2,2학기,국어,8. 나도 작가,겪은 일을 시나 노래로 표현하기 -2-,6,15,238~243
2,2학기,국어,8. 나도 작가,이어질 이야기를 상상하며 작품 감상하기 -1-,7,15,244~251
2,2학기,국어,8. 나도 작가,이어질 이야기를 상상하며 작품 감상하기 -2-,8,15,244~251
2,2학기,국어,8. 나도 작가,이야기를 읽고 이어질 이야기 상상하기 -1-,9,15,252~259
2,2학기,국어,8. 나도 작가,이야기를 읽고 이어질 이야기 상상하기 -2-,10,15,252~259
2,2학기,국어,8. 나도 작가,배운 내용 실천하기 -1-,11,15,260~261
2,2학기,국어,8. 나도 작가,배운 내용 실천하기 -2-,12,15,260~261
2,2학기,국어,8. 나도 작가,배운 내용 실천하기 -3-,13,15,260~261
2,2학기,국어,8. 나도 작가,배운 내용 마무리하기 -1-,14,15,262~265
2,2학기,국어,8. 나도 작가,배운 내용 마무리하기 -2-,15,15,262~265
2,1학기,수학,수학을 만나요,수학을 찾아요,1,3,6~7
2,1학기,수학,수학을 만나요,수학과 놀아요,2,3,8~9
2,1학기,수학,수학을 만나요,수학으로 이야기해요,3,3,10~11
2,1학기,수학,1. 세 자리 수,단원도입,1,9,12~15
2,1학기,수학,1. 세 자리 수,백을 알아볼까요,2,9,16~17
2,1학기,수학,1. 세 자리 수,몇백을 알아볼까요,3,9,18~19
2,1학기,수학,1. 세 자리 수,세 자리 수를 알아볼까요,4,9,20~21
2,1학기,수학,1. 세 자리 수,각 자리의 숫자는 얼마를 나타낼까요,5,9,22~23
2,1학기,수학,1. 세 자리 수,뛰어 세어 볼까요,6,9,24~25
2,1학기,수학,1. 세 자리 수,수의 크기를 비교해 볼까요,7,9,26~27
2,1학기,수학,1. 세 자리 수,수학이랑 확인해요,8,9,28~29
2,1학기,수학,1. 세 자리 수,수학이랑 만들어요,9,9,30~31
2,1학기,수학,2. 여러 가지 도형,단원도입,1,9,32~35
2,1학기,수학,2. 여러 가지 도형,△을 알아보고 찾아볼까요,2,9,36~39
2,1학기,수학,2. 여러 가지 도형,□을 알아보고 찾아볼까요,3,9,40~43
2,1학기,수학,2. 여러 가지 도형,○을 알아보고 찾아볼까요,4,9,44~47
2,1학기,수학,2. 여러 가지 도형,칠교판으로 모양을 만들어 볼까요,5,9,48~51
2,1학기,수학,2. 여러 가지 도형,쌓은 모양을 알아볼까요,6,9,52~53
2,1학기,수학,2. 여러 가지 도형,여러 가지 모양으로 쌓아 볼까요,7,9,54~55
2,1학기,수학,2. 여러 가지 도형,수학이랑 확인해요,8,9,56~57
2,1학기,수학,2. 여러 가지 도형,수학이랑 만들어요,9,9,58~59
2,1학기,수학,3. 덧셈과 뺄셈,단원도입,1,14,60~63
2,1학기,수학,3. 덧셈과 뺄셈,여러 가지 방법으로 덧셈을 해 볼까요⑴,2,14,64~65
2,1학기,수학,3. 덧셈과 뺄셈,여러 가지 방법으로 덧셈을 해 볼까요⑵ -1-,3,14,66~69
2,1학기,수학,3. 덧셈과 뺄셈,여러 가지 방법으로 덧셈을 해 볼까요⑵ -2-,4,14,66~69
2,1학기,수학,3. 덧셈과 뺄셈,덧셈을 해 볼까요,5,14,70~71
2,1학기,수학,3. 덧셈과 뺄셈,여러 가지 방법으로 뺄셈을 해 볼까요⑴,6,14,72~73
2,1학기,수학,3. 덧셈과 뺄셈,여러 가지 방법으로 뺄셈을 해 볼까요⑵ -1-,7,14,74~77
2,1학기,수학,3. 덧셈과 뺄셈,여러 가지 방법으로 뺄셈을 해 볼까요⑵ -2-,8,14,74~77
2,1학기,수학,3. 덧셈과 뺄셈,뺄셈을 해 볼까요,9,14,78~79
2,1학기,수학,3. 덧셈과 뺄셈,세 수의 계산을 해 볼까요,10,14,80~81
2,1학기,수학,3. 덧셈과 뺄셈,덧셈과 뺄셈의 관계를 식으로 나타내 볼까요,11,14,82~83
2,1학기,수학,3. 덧셈과 뺄셈,□가 사용된 식을 만들고 □의 값을 구해 볼까요,12,14,84~85
2,1학기,수학,3. 덧셈과 뺄셈,수학이랑 확인해요,13,14,86~87
2,1학기,수학,3. 덧셈과 뺄셈,수학이랑 만들어요,14,14,88~89
2,1학기,수학,4. 길이 재기,단원도입,1,9,90~93
2,1학기,수학,4. 길이 재기,길이를 비교하는 방법을 알아볼까요,2,9,94~95
2,1학기,수학,4. 길이 재기,여러 가지 단위로 길이를 재어 볼까요,3,9,96~99
2,1학기,수학,4. 길이 재기,1cm를 알아볼까요,4,9,100~103
2,1학기,수학,4. 길이 재기,자로 길이를 재는 방법을 알아볼까요,5,9,104~107
2,1학기,수학,4. 길이 재기,자로 길이를 재어 볼까요,6,9,108~109
